chunks|metadata
The files are saved in Music/Bluetooth, where music apps will find them. You’re ready to listen!  Tip: To see Bluetooth files you received, go to Settings > Connected devices > Connection preferences  > Files received via Bluetooth.  Transfer music from your computer|The files are saved in Music/Bluetooth, where music apps will find them. You’re ready to listen!  Tip: To see Bluetooth files you received, go to Settings > Connected devices > Connection preferences  > Files received via Bluetooth.  Transfer music from your computer
Transfer music from your computer  To move your music from your computer to your phone, connect them with a USB cable and copy the files to  your phone’s Music folder.  Connect a MIDI device To connect a MIDI device: . Make sure you have:        A USB cable that's capable of data transfer and isn't for charging only.  A USB OTG adapter cable, if needed. .|Transfer music from your computer  To move your music from your computer to your phone, connect them with a USB cable and copy the files to  your phone’s Music folder.  Connect a MIDI device To connect a MIDI device: . Make sure you have:        A USB cable that's capable of data transfer and isn't for charging only.  A USB OTG adapter cable, if needed. .
A USB OTG adapter cable, if needed. .  Turn the phone and MIDI device on. . Connect them with the USB cable (and adapter if needed). . Unlock the phone. . Change the USB connection type to allow MIDI connection:  a.  Swipe down from the top of your home screen and touch the Charging this device via USB  notification.  b. Touch MIDI.     Settings : Network and internet   Connect to Wi‑Fi networks|A USB OTG adapter cable, if needed. .  Turn the phone and MIDI device on. . Connect them with the USB cable (and adapter if needed). . Unlock the phone. . Change the USB connection type to allow MIDI connection:  a.  Swipe down from the top of your home screen and touch the Charging this device via USB  notification.  b. Touch MIDI.     Settings : Network and internet   Connect to Wi‑Fi networks
Connect to Wi‑Fi networks  Turn on and connect  Turn Wi‑Fi on . Open quick settings and touch Internet. .  Turn Wi-Fi on   .  Your phone automatically connects to nearby Wi-Fi networks you've connected to before.  When you're connected, you'll see    in the status bar.  Search for available networks . Open quick settings and touch Internet. .  Turn Wi-Fi on   .|Connect to Wi‑Fi networks  Turn on and connect  Turn Wi‑Fi on . Open quick settings and touch Internet. .  Turn Wi-Fi on   .  Your phone automatically connects to nearby Wi-Fi networks you've connected to before.  When you're connected, you'll see    in the status bar.  Search for available networks . Open quick settings and touch Internet. .  Turn Wi-Fi on   .
Turn Wi-Fi on   .  You'll see a list of available networks. If a network needs a password, you'll see   . . Do one of the following:              If the network is open (no   ), touch its name to connect.|Turn Wi-Fi on   .  You'll see a list of available networks. If a network needs a password, you'll see   . . Do one of the following:              If the network is open (no   ), touch its name to connect.
), touch its name to connect.  To type a password from the network owner, touch the network to connect to, then enter the  password. For your home network, get the password from the label on the Wi-Fi router. For a public  network, get the password from the business or organization.  To connect using a QR code, touch See all, swipe to Add network, then touch    and scan the   code.|), touch its name to connect.  To type a password from the network owner, touch the network to connect to, then enter the  password. For your home network, get the password from the label on the Wi-Fi router. For a public  network, get the password from the business or organization.  To connect using a QR code, touch See all, swipe to Add network, then touch    and scan the   code.
and scan the   code.  If the network is hidden, you need to set it up before it will appear in the list of available networks.  Change, share, remove networks  Change . Open quick settings and touch Internet. .  In the list of nearby networks:  To connect to a different network, touch its name.  To change settings for the currently connected network, touch    >   .|and scan the   code.  If the network is hidden, you need to set it up before it will appear in the list of available networks.  Change, share, remove networks  Change . Open quick settings and touch Internet. .  In the list of nearby networks:  To connect to a different network, touch its name.  To change settings for the currently connected network, touch    >   .
>   .  To change settings for a saved, disconnected network, touch & hold its name, then touch Modify.           Share  You can share connection information with a friend so they can connect to the same network. . Open quick settings and touch Internet. . .  Touch the network you’re connected to, then touch   .  Show the person the code to scan or the Wi-Fi password to type.  Remove|>   .  To change settings for a saved, disconnected network, touch & hold its name, then touch Modify.           Share  You can share connection information with a friend so they can connect to the same network. . Open quick settings and touch Internet. . .  Touch the network you’re connected to, then touch   .  Show the person the code to scan or the Wi-Fi password to type.  Remove
Remove   Settings : Network and internet   If you don't want to automatically connect to a saved Wi-Fi network, you can forget that network. . Open quick settings and touch Internet. . .  If the network appears in your list of nearby networks, touch its name, then touch Forget.|Remove   Settings : Network and internet   If you don't want to automatically connect to a saved Wi-Fi network, you can forget that network. . Open quick settings and touch Internet. . .  If the network appears in your list of nearby networks, touch its name, then touch Forget.
To review all of your saved networks, touch Saved networks. For each network you want to remove,  touch its name, then touch Forget.  Turn Wi-Fi off  To extend the life of your battery between charges, turn off Wi‑Fi when you're not in a location with access  to Wi‑Fi. . Open quick settings and touch Internet. .  Turn Wi-Fi off   .|To review all of your saved networks, touch Saved networks. For each network you want to remove,  touch its name, then touch Forget.  Turn Wi-Fi off  To extend the life of your battery between charges, turn off Wi‑Fi when you're not in a location with access  to Wi‑Fi. . Open quick settings and touch Internet. .  Turn Wi-Fi off   .
Turn Wi-Fi off   .  Advanced: Disable Wi-Fi scanning . Go to Settings > Location. . .  Touch Location services.  Touch Wi-Fi scanning and turn it off   If you turn this off, apps that use your location won't work as well.  Advanced: Connect to hidden networks . Open quick settings and touch Internet. . . . . .  Touch See all, swipe down, and touch Add network.|Turn Wi-Fi off   .  Advanced: Disable Wi-Fi scanning . Go to Settings > Location. . .  Touch Location services.  Touch Wi-Fi scanning and turn it off   If you turn this off, apps that use your location won't work as well.  Advanced: Connect to hidden networks . Open quick settings and touch Internet. . . . . .  Touch See all, swipe down, and touch Add network.
Enter the SSID (network name), security type, check Show password and enter the password.  Touch Advanced options, and change Hidden network to Yes.  Touch Save.  The hidden network is now visible in the list of available networks, and if you weren’t connected to Wi-Fi  previously, you’re now connected.|Enter the SSID (network name), security type, check Show password and enter the password.  Touch Advanced options, and change Hidden network to Yes.  Touch Save.  The hidden network is now visible in the list of available networks, and if you weren’t connected to Wi-Fi  previously, you’re now connected.
If you were connected to Wi-Fi when you added the hidden network, in the list of available networks,  touch the name of the saved network, then touch Connect.  Use Airplane mode Airplane mode turns off all wireless connections, preventing your phone from transmitting signals that  could interfere with airplane communications.  Turn it on  Open quick settings and touch|If you were connected to Wi-Fi when you added the hidden network, in the list of available networks,  touch the name of the saved network, then touch Connect.  Use Airplane mode Airplane mode turns off all wireless connections, preventing your phone from transmitting signals that  could interfere with airplane communications.  Turn it on  Open quick settings and touch
Open quick settings and touch    to turn airplane mode on. This disables all wireless connections (Wi‑Fi,   voice and data for calls and text messages, Bluetooth). If permitted by your airline, you can then turn Wi‑Fi  and/or Bluetooth back on during the flight. Other wireless connections remain off.  Turn it off  Open quick settings and touch   .   Settings : Network and internet|Open quick settings and touch    to turn airplane mode on. This disables all wireless connections (Wi‑Fi,   voice and data for calls and text messages, Bluetooth). If permitted by your airline, you can then turn Wi‑Fi  and/or Bluetooth back on during the flight. Other wireless connections remain off.  Turn it off  Open quick settings and touch   .   Settings : Network and internet
.   Settings : Network and internet   Control data usage  Turn mobile data off/on  Open quick settings, touch Internet. Then, by your mobile network's name, turn your connection on    or   off   .  When you turn off data usage over your cellular network, you can still use data by connecting to a Wi-Fi  network.  Cellular data must be ON if you want to:        Receive or send multi-media messages|.   Settings : Network and internet   Control data usage  Turn mobile data off/on  Open quick settings, touch Internet. Then, by your mobile network's name, turn your connection on    or   off   .  When you turn off data usage over your cellular network, you can still use data by connecting to a Wi-Fi  network.  Cellular data must be ON if you want to:        Receive or send multi-media messages
Receive or send multi-media messages  Share your phone’s internet connection with other devices  Set data warning and limit|Receive or send multi-media messages  Share your phone’s internet connection with other devices  Set data warning and limit
Set data warning and limit  Sometimes it's easy to exceed your data plan limit without realizing it. To avoid surprises, set a usage  warning that notifies you when you’re close to your limit, and set a usage limit that turns off cellular data  when the limit is reached. . Go to Settings > Network & internet > Mobile network.  Or, in quick settings, touch & hold Internet. . . . .|Set data warning and limit  Sometimes it's easy to exceed your data plan limit without realizing it. To avoid surprises, set a usage  warning that notifies you when you’re close to your limit, and set a usage limit that turns off cellular data  when the limit is reached. . Go to Settings > Network & internet > Mobile network.  Or, in quick settings, touch & hold Internet. . . . .
Touch the SIM name.  Touch Data warning & limit.  To set a warning, turn Set data warning on   , then touch Data warning and enter the amount of   data.  To set a usage limit, turn Set data limit on   , then touch Data limit and enter the amount of data.  Restrict background data  About background data|Touch the SIM name.  Touch Data warning & limit.  To set a warning, turn Set data warning on   , then touch Data warning and enter the amount of   data.  To set a usage limit, turn Set data limit on   , then touch Data limit and enter the amount of data.  Restrict background data  About background data
About background data  Even when you’re not actively using them, most apps use data in the background to sync information and  deliver notifications.  To conserve data when you’re running low, you can use Data Saver to turn off background data for all apps.  Or, to restrict background data used by an app indefinitely, you can turn off background data specifically for  that app.|About background data  Even when you’re not actively using them, most apps use data in the background to sync information and  deliver notifications.  To conserve data when you’re running low, you can use Data Saver to turn off background data for all apps.  Or, to restrict background data used by an app indefinitely, you can turn off background data specifically for  that app.
Notifications only when you open the app  When you turn off background data for an app, it won't sync until you open it, so you will receive NO  notifications until you open the app and it syncs.  Restrict for all apps when you’re low . Go to Settings > Network & internet > Data Saver. .  Turn Use Data Saver on   .  You'll see|Notifications only when you open the app  When you turn off background data for an app, it won't sync until you open it, so you will receive NO  notifications until you open the app and it syncs.  Restrict for all apps when you’re low . Go to Settings > Network & internet > Data Saver. .  Turn Use Data Saver on   .  You'll see
.  You'll see    in your status bar and all apps are prevented from using background data.   Settings : Network and internet  .  To allow certain apps to continue using background data, touch Unrestricted data, then next to the  app name, slide the switch on   .  Restrict for specific apps indefinitely . Go to Settings > Network & internet > Mobile network. . . .  Touch the SIM name.|.  You'll see    in your status bar and all apps are prevented from using background data.   Settings : Network and internet  .  To allow certain apps to continue using background data, touch Unrestricted data, then next to the  app name, slide the switch on   .  Restrict for specific apps indefinitely . Go to Settings > Network & internet > Mobile network. . . .  Touch the SIM name.
Touch the SIM name.  Touch App data usage.  Touch an app, then turn Background data off   .  Dual SIMs  If your phone has two SIMs, cellular data is active on only one SIM at a time. You can control which SIM is  used.  Share your internet connection  About hotspots and tethering|Touch the SIM name.  Touch App data usage.  Touch an app, then turn Background data off   .  Dual SIMs  If your phone has two SIMs, cellular data is active on only one SIM at a time. You can control which SIM is  used.  Share your internet connection  About hotspots and tethering
About hotspots and tethering  Want to use the internet on a laptop computer or tablet but don't have a connection? You can share your  phone's cellular data connection with multiple devices by turning your phone into a Wi‑Fi hotspot. You can  also share your internet connection with a single device using USB tethering or Bluetooth tethering.|About hotspots and tethering  Want to use the internet on a laptop computer or tablet but don't have a connection? You can share your  phone's cellular data connection with multiple devices by turning your phone into a Wi‑Fi hotspot. You can  also share your internet connection with a single device using USB tethering or Bluetooth tethering.
Note: Your cellular plan must support data sharing. If you don’t know, contact your carrier.  Set up Wi‑Fi hotspot . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share. . Go to Settings > Network & internet > Hotspot & tethering. .  Touch Wi-Fi hotspot and do any:                     |Note: Your cellular plan must support data sharing. If you don’t know, contact your carrier.  Set up Wi‑Fi hotspot . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share. . Go to Settings > Network & internet > Hotspot & tethering. .  Touch Wi-Fi hotspot and do any:                     
                     To make it easier to identify your hotspot when connecting to it, change the name for your hotspot.  To prevent others from seeing your phone's network name, check Hide my device.  To see the current password, touch Hotspot password.|                     To make it easier to identify your hotspot when connecting to it, change the name for your hotspot.  To prevent others from seeing your phone's network name, check Hide my device.  To see the current password, touch Hotspot password.
If the hotspot signal is experiencing interference, change the broadcast channel/band to 5GHz. If  the hotspot signal seems weak, change it to 2GHz. (This feature is not available in all countries.)  To help other devices find the hotspot, be sure Extend compatibility is on   . Turn it off to   increase the hotspot connection speed.|If the hotspot signal is experiencing interference, change the broadcast channel/band to 5GHz. If  the hotspot signal seems weak, change it to 2GHz. (This feature is not available in all countries.)  To help other devices find the hotspot, be sure Extend compatibility is on   . Turn it off to   increase the hotspot connection speed.
increase the hotspot connection speed.  To limit the number of devices that can connect or to restrict access to only devices you specify,  touch Manage devices.  To save power you can configure when the hotspot should automatically turn off if nobody is using  it. Touch Timeout setting.     Settings : Network and internet|increase the hotspot connection speed.  To limit the number of devices that can connect or to restrict access to only devices you specify,  touch Manage devices.  To save power you can configure when the hotspot should automatically turn off if nobody is using  it. Touch Timeout setting.     Settings : Network and internet
Settings : Network and internet   Connect devices to hotspot . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share. . Go to Settings > Network & internet > Hotspot & tethering. . .  Touch Wi-Fi hotspot.  Turn Use Wi‑Fi hotspot on   , then plug in your phone to charge. Using the hotspot really drains the   battery!|Settings : Network and internet   Connect devices to hotspot . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share. . Go to Settings > Network & internet > Hotspot & tethering. . .  Touch Wi-Fi hotspot.  Turn Use Wi‑Fi hotspot on   , then plug in your phone to charge. Using the hotspot really drains the   battery!
battery!  When your hotspot is active, you'll see    in the status bar. .  Set up the connection.  To connect  Do this  A phone  a. On your phone, next to the hotspot's name, touch    and unlock if prompted.  b. Use the other phone's camera to scan the QR code that provides the password.  Other device  a. Open the device’s Wi-Fi settings.  b.  c.  Select your phone’s hotspot.|battery!  When your hotspot is active, you'll see    in the status bar. .  Set up the connection.  To connect  Do this  A phone  a. On your phone, next to the hotspot's name, touch    and unlock if prompted.  b. Use the other phone's camera to scan the QR code that provides the password.  Other device  a. Open the device’s Wi-Fi settings.  b.  c.  Select your phone’s hotspot.
b.  c.  Select your phone’s hotspot.  Enter the hotspot password. Learn how to find the hotspot's password.  Manage hotspot connections  To see the number of devices connected to your hotspot:     In quick settings, look below   .    Or, go to Settings > Network & internet > Hotspot & tethering and look under Wi-Fi hotspot.|b.  c.  Select your phone’s hotspot.  Enter the hotspot password. Learn how to find the hotspot's password.  Manage hotspot connections  To see the number of devices connected to your hotspot:     In quick settings, look below   .    Or, go to Settings > Network & internet > Hotspot & tethering and look under Wi-Fi hotspot.
By assigning a password for your hotspot, you ensure that people can't connect to your hotspot without  your knowledge or permission.  To disconnect all devices and prevent them from reconnecting: .  Turn the hotspot off. . Change the password. .  Turn the hotspot back on to continue using it.|By assigning a password for your hotspot, you ensure that people can't connect to your hotspot without  your knowledge or permission.  To disconnect all devices and prevent them from reconnecting: .  Turn the hotspot off. . Change the password. .  Turn the hotspot back on to continue using it.
If you’re experiencing performance issues, you can limit the number of connections allowed or temporarily  disconnect devices. . Go to Settings > Network & internet > Hotspot & tethering. .  Touch Wi-Fi hotspot > Manage devices.   Settings : Network and internet  . Do any of the following:        To limit number of devices allowed, touch Device limit.|If you’re experiencing performance issues, you can limit the number of connections allowed or temporarily  disconnect devices. . Go to Settings > Network & internet > Hotspot & tethering. .  Touch Wi-Fi hotspot > Manage devices.   Settings : Network and internet  . Do any of the following:        To limit number of devices allowed, touch Device limit.
To temporarily disconnect devices until your next hotspot session, under Connected devices, touch  the device's name > Disconnect. The device will remain unable to connect until you turn off and  restart the hotspot.|To temporarily disconnect devices until your next hotspot session, under Connected devices, touch  the device's name > Disconnect. The device will remain unable to connect until you turn off and  restart the hotspot.
To allow only specified devices to connect: . Get the MAC addresses of the devices you want to allow to connect. (Connect devices to the hotspot  normally, then go to Manage devices, and touch the name of each connected device to view its MAC  address.) . .  Touch Manage allowed devices > Add allowed device.|To allow only specified devices to connect: . Get the MAC addresses of the devices you want to allow to connect. (Connect devices to the hotspot  normally, then go to Manage devices, and touch the name of each connected device to view its MAC  address.) . .  Touch Manage allowed devices > Add allowed device.
For each device, enter the MAC address and device name. . Once you add allowed devices, they are saved unless you delete them, and you can turn this feature on   and off by checking or unchecking Allow all devices any time.  To restrict access for a previously allowed device, touch the device name, then touch Delete.|For each device, enter the MAC address and device name. . Once you add allowed devices, they are saved unless you delete them, and you can turn this feature on   and off by checking or unchecking Allow all devices any time.  To restrict access for a previously allowed device, touch the device name, then touch Delete.
View or change hotspot password . Go to Settings > Network & internet > Hotspot & tethering. . . .  Touch Wi-Fi hotspot.  Touch Hotspot password to see the current password.  To change the password, type over the current password.  Note: Although you can turn off passwords for your hotspot, keeping a password prevents unauthorized  usage of your cellular data.  USB tethering|View or change hotspot password . Go to Settings > Network & internet > Hotspot & tethering. . . .  Touch Wi-Fi hotspot.  Touch Hotspot password to see the current password.  To change the password, type over the current password.  Note: Although you can turn off passwords for your hotspot, keeping a password prevents unauthorized  usage of your cellular data.  USB tethering
USB tethering  To connect a device to the internet using your phone's cellular data and a USB cable: . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share. . Connect your phone to your computer with a USB cable. . On your phone, go to Settings. . .  Touch Network & internet > Hotspot & tethering.|USB tethering  To connect a device to the internet using your phone's cellular data and a USB cable: . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share. . Connect your phone to your computer with a USB cable. . On your phone, go to Settings. . .  Touch Network & internet > Hotspot & tethering.
Turn on USB tethering to start the connection.  You'll see    in your notifications.  To stop the connection, touch the notification and turn off USB tethering, then disconnect your phone and  computer.  Bluetooth tethering|Turn on USB tethering to start the connection.  You'll see    in your notifications.  To stop the connection, touch the notification and turn off USB tethering, then disconnect your phone and  computer.  Bluetooth tethering
Bluetooth tethering  To connect a device to the internet using your phone's cellular data and a Bluetooth connection: . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share.     Settings : Network and internet  . .  Turn on Bluetooth on your phone and pair with the other device.|Bluetooth tethering  To connect a device to the internet using your phone's cellular data and a Bluetooth connection: . Check that cellular data is on. If cellular data is off, your phone doesn't have an internet connection to   share.     Settings : Network and internet  . .  Turn on Bluetooth on your phone and pair with the other device.
Set up the other device to get its network connection via Bluetooth. . On your phone, go to Settings. . .  Touch Network & internet > Hotspot & tethering.  Turn on Bluetooth tethering to start the connection.  You'll see    in your notifications.  To stop the connection, touch the notification and turn off Bluetooth tethering.|Set up the other device to get its network connection via Bluetooth. . On your phone, go to Settings. . .  Touch Network & internet > Hotspot & tethering.  Turn on Bluetooth tethering to start the connection.  You'll see    in your notifications.  To stop the connection, touch the notification and turn off Bluetooth tethering.
Connect to VPNs A virtual private network (VPN) lets you access files on a secure network like an office network with a  firewall. Contact your network administrator for VPN settings and any additional apps or requirements.  To set up a VPN connection: . Go to Settings > Network & internet. . .  Touch VPN. If prompted, set a screen lock PIN or password.  Touch|Connect to VPNs A virtual private network (VPN) lets you access files on a secure network like an office network with a  firewall. Contact your network administrator for VPN settings and any additional apps or requirements.  To set up a VPN connection: . Go to Settings > Network & internet. . .  Touch VPN. If prompted, set a screen lock PIN or password.  Touch
Touch   . . Choose the type of VPN and enter settings from the network administrator. . .  To always remain connected to the VPN, check Always-on VPN.  Touch SAVE.  The network is stored in the VPN list so you can select it when you need to connect.   Settings : Connected devices   Connect with Bluetooth  Turn Bluetooth on/off|Touch   . . Choose the type of VPN and enter settings from the network administrator. . .  To always remain connected to the VPN, check Always-on VPN.  Touch SAVE.  The network is stored in the VPN list so you can select it when you need to connect.   Settings : Connected devices   Connect with Bluetooth  Turn Bluetooth on/off
Turn Bluetooth on/off  Bluetooth uses more of your battery, so turn it off when not in use. . Open quick settings. .  Touch    to switch it on/off.  Pair with Bluetooth device  To connect with a new Bluetooth accessory or other device, you need to pair with it. You only need to do this  once for each device. .|Turn Bluetooth on/off  Bluetooth uses more of your battery, so turn it off when not in use. . Open quick settings. .  Touch    to switch it on/off.  Pair with Bluetooth device  To connect with a new Bluetooth accessory or other device, you need to pair with it. You only need to do this  once for each device. .
Set the device you want to pair (accessory, computer, other phone, etc.) to Bluetooth discovery mode so  that your phone can find it. See the device manufacturer’s instructions. . On your phone, go to Settings > Connected devices. .  Touch   .  As the phone searches for available devices, you'll see   . .  Touch an available device to connect. . Do any of the following:         |Set the device you want to pair (accessory, computer, other phone, etc.) to Bluetooth discovery mode so  that your phone can find it. See the device manufacturer’s instructions. . On your phone, go to Settings > Connected devices. .  Touch   .  As the phone searches for available devices, you'll see   . .  Touch an available device to connect. . Do any of the following:         
         If a pairing code appears on your phone and Bluetooth device, make sure the codes match. (If they  don't, touch Cancel, verify the name of the device you want to pair with, and try again.)  If your device shows a passkey (like 0000 or 1234), enter it on your phone. If you don't see a place to  enter it, swipe down from the top of your screen and touch the Bluetooth notification.|         If a pairing code appears on your phone and Bluetooth device, make sure the codes match. (If they  don't, touch Cancel, verify the name of the device you want to pair with, and try again.)  If your device shows a passkey (like 0000 or 1234), enter it on your phone. If you don't see a place to  enter it, swipe down from the top of your screen and touch the Bluetooth notification.
If your device doesn't show a passkey and you must enter one for the device to pair, see the device  manufacturers' instructions. .  Touch Pair on your phone. Check the other device for a pairing prompt as well; if it has one, you'll need  to confirm on both devices or pairing will fail. .  Set sharing options if you'll want to share contacts, phone audio, media audio, or internet access.|If your device doesn't show a passkey and you must enter one for the device to pair, see the device  manufacturers' instructions. .  Touch Pair on your phone. Check the other device for a pairing prompt as well; if it has one, you'll need  to confirm on both devices or pairing will fail. .  Set sharing options if you'll want to share contacts, phone audio, media audio, or internet access.
Tip: If you use a screen lock, you can define a paired Bluetooth device as a trusted device, keeping your  phone unlocked while connected to it. When you disconnect or move out of range, your phone locks  again. Go to Settings > Security > Smart Lock > Trusted devices.  Can't pair? Troubleshoot the issue.  Use paired device|Tip: If you use a screen lock, you can define a paired Bluetooth device as a trusted device, keeping your  phone unlocked while connected to it. When you disconnect or move out of range, your phone locks  again. Go to Settings > Security > Smart Lock > Trusted devices.  Can't pair? Troubleshoot the issue.  Use paired device
Use paired device  Tip: Bluetooth connections can really drain your battery. Save power by turning Bluetooth off when  you're not connected to a device.  After pairing with a device, you’ll need to set sharing options and then you can use Bluetooth to:    Make or receive calls with a headset       Settings : Connected devices     Make or receive calls and play music over your car's audio system|Use paired device  Tip: Bluetooth connections can really drain your battery. Save power by turning Bluetooth off when  you're not connected to a device.  After pairing with a device, you’ll need to set sharing options and then you can use Bluetooth to:    Make or receive calls with a headset       Settings : Connected devices     Make or receive calls and play music over your car's audio system
            Transfer music  Share photos  Share contacts  Share your phone's internet connection with your computer  To set sharing options: . Go to Settings > Connected devices. . .  Touch    by the device's name.  Turn sharing options on or off. . On the paired device or in the device’s app, look for Bluetooth settings to review and adjust. For more|            Transfer music  Share photos  Share contacts  Share your phone's internet connection with your computer  To set sharing options: . Go to Settings > Connected devices. . .  Touch    by the device's name.  Turn sharing options on or off. . On the paired device or in the device’s app, look for Bluetooth settings to review and adjust. For more
information, see the paired device manufacturer’s instructions.  Reconnect with Bluetooth device . Open quick settings and turn    on. .  Turn on the Bluetooth device.  Turn off Bluetooth scanning  When Bluetooth is off, your phone can still scan and automatically connect to a previously paired device. To  prevent this, turn off Bluetooth scanning.|information, see the paired device manufacturer’s instructions.  Reconnect with Bluetooth device . Open quick settings and turn    on. .  Turn on the Bluetooth device.  Turn off Bluetooth scanning  When Bluetooth is off, your phone can still scan and automatically connect to a previously paired device. To  prevent this, turn off Bluetooth scanning.
To turn off scanning: . Go to Settings > Location. . .  Touch Location services.  Turn Bluetooth scanning off   .  If you turn this off, apps that use your location won't work as well.  Change phone's name  Your phone name identifies your phone in a Bluetooth network. You can change the name. . Go to Settings > Connected devices. .  Touch    > Device name.|To turn off scanning: . Go to Settings > Location. . .  Touch Location services.  Turn Bluetooth scanning off   .  If you turn this off, apps that use your location won't work as well.  Change phone's name  Your phone name identifies your phone in a Bluetooth network. You can change the name. . Go to Settings > Connected devices. .  Touch    > Device name.
Touch    > Device name.  About Qualcomm Snapdragon Sound technology  Your phone features Qualcomm Snapdragon Sound technology for a premium audio experience.   Settings : Connected devices   Qualcomm Snapdragon Sound is a product of Qualcomm Technologies, Inc. and/or its subsidiaries.  Qualcomm, Snapdragon and Snapdragon Sound are trademarks or registered trademarks of Qualcomm  Incorporated.|Touch    > Device name.  About Qualcomm Snapdragon Sound technology  Your phone features Qualcomm Snapdragon Sound technology for a premium audio experience.   Settings : Connected devices   Qualcomm Snapdragon Sound is a product of Qualcomm Technologies, Inc. and/or its subsidiaries.  Qualcomm, Snapdragon and Snapdragon Sound are trademarks or registered trademarks of Qualcomm  Incorporated.
Connect with Wi-Fi Direct If you have a device, like a printer or TV, that supports Wi-Fi Direct, you can connect your phone without a  wireless router or cable.  When you turn on your phone’s Wi-Fi, Wi-Fi Direct is automatically enabled.|Connect with Wi-Fi Direct If you have a device, like a printer or TV, that supports Wi-Fi Direct, you can connect your phone without a  wireless router or cable.  When you turn on your phone’s Wi-Fi, Wi-Fi Direct is automatically enabled.
To connect to a Wi-Fi Direct device: . On the device you want to connect, set up Wi-Fi Direct. For instructions, see that product's user guide. . On your phone, go to Settings > Network & internet > Internet > Network preferences. .  Touch Wi-Fi Direct.  You'll see a list of Wi-Fi Direct devices that are within range and compatible. .  Touch the device’s name to connect.|To connect to a Wi-Fi Direct device: . On the device you want to connect, set up Wi-Fi Direct. For instructions, see that product's user guide. . On your phone, go to Settings > Network & internet > Internet > Network preferences. .  Touch Wi-Fi Direct.  You'll see a list of Wi-Fi Direct devices that are within range and compatible. .  Touch the device’s name to connect.
Touch the device’s name to connect.  Make contactless payments Only some versions of this phone, sold in certain countries, support this feature.  Use NFC (near-field communication) to pay quickly and securely at checkout registers by touching your  phone to an electronic reader.  Set up contactless payment . Make sure you have:        Set up Wallet.|Touch the device’s name to connect.  Make contactless payments Only some versions of this phone, sold in certain countries, support this feature.  Use NFC (near-field communication) to pay quickly and securely at checkout registers by touching your  phone to an electronic reader.  Set up contactless payment . Make sure you have:        Set up Wallet.
      Set up Wallet.  Turned on NFC. . Go to Settings > Connected devices > Connection preferences. . . .  Touch NFC and make sure it's on.  Touch Contactless payments > Payment default and select the app.  Touch Use default, then chose when to use it (always or except when another payment app is open).  Note: This feature manages payment apps. It doesn't include money transfer apps.|      Set up Wallet.  Turned on NFC. . Go to Settings > Connected devices > Connection preferences. . . .  Touch NFC and make sure it's on.  Touch Contactless payments > Payment default and select the app.  Touch Use default, then chose when to use it (always or except when another payment app is open).  Note: This feature manages payment apps. It doesn't include money transfer apps.
Settings : Connected devices   Make a payment . Make sure NFC is on and that the terminal has this symbol: . Unlock your phone and touch its back to the terminal.  Your payment app might require you to open the app and enter a PIN before touching your phone to  the terminal.  Turn off contactless payment  Turn off NFC.|Settings : Connected devices   Make a payment . Make sure NFC is on and that the terminal has this symbol: . Unlock your phone and touch its back to the terminal.  Your payment app might require you to open the app and enter a PIN before touching your phone to  the terminal.  Turn off contactless payment  Turn off NFC.
Turn off NFC.  Tip: You can also open your payment app and turn off contactless payments. Not all payment apps  support this option.  Share or receive with NFC Only some versions of this phone, sold in certain countries, support this feature.|Turn off NFC.  Tip: You can also open your payment app and turn off contactless payments. Not all payment apps  support this option.  Share or receive with NFC Only some versions of this phone, sold in certain countries, support this feature.
NFC (near-field communication) makes it easy to securely share with sources you trust, without having to  type a lot of information or struggle with pairing.  Turn NFC on . Open quick settings and touch   .  Or, go to Settings > Connected devices > Connection preferences .  Touch NFC and turn it on   .  If you don't see this option, then your phone doesn't support NFC.|NFC (near-field communication) makes it easy to securely share with sources you trust, without having to  type a lot of information or struggle with pairing.  Turn NFC on . Open quick settings and touch   .  Or, go to Settings > Connected devices > Connection preferences .  Touch NFC and turn it on   .  If you don't see this option, then your phone doesn't support NFC.
Share content between devices  Share content from your phone to another device by touching the devices together (usually back to back).  You can share content using the Files app. To learn how, read Google's help.  Read NFC tags on posters and signs|Share content between devices  Share content from your phone to another device by touching the devices together (usually back to back).  You can share content using the Files app. To learn how, read Google's help.  Read NFC tags on posters and signs
Read NFC tags on posters and signs  Receive web links, e-coupons, brochures, maps, and more from an NFC tag. Look for the NFC logo on NFC- enabled accessories, posters, signs and store displays. Just touch the back of your phone to within 2 cm of  the logo to receive its tag information.     Settings : Connected devices   Enable NFC icon in status bar|Read NFC tags on posters and signs  Receive web links, e-coupons, brochures, maps, and more from an NFC tag. Look for the NFC logo on NFC- enabled accessories, posters, signs and store displays. Just touch the back of your phone to within 2 cm of  the logo to receive its tag information.     Settings : Connected devices   Enable NFC icon in status bar
